Sample ID	AF Z	Intensity	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Run #	Sample Timestamp	X corr	Y corr	Z corr	Position	Depth	Tray Timestamp	Meas. type	Data type	X mean	Y mean	Z mean	Declination: Formation Rotated	Inclination: Formation Rotated
KT049	20	9.6089E-7	209.86	-35.42	206.07	-5.80	11580	10/12/20 1627	-4.0745E-6	-2.3396E-6	-3.3412E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-4.0399E-6	-2.3259E-6	-3.3431E-6	206.07	-5.80
KT049	110	1.8705E-6	201.64	-36.13	199.40	-4.91	11594	10/13/20 1014	-8.4257E-6	-3.3429E-6	-6.6172E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-8.3919E-6	-3.3341E-6	-6.6302E-6	199.40	-4.91
KT049	150	1.8935E-6	194.58	-34.45	193.99	-2.28	11608	10/13/20 1301	-9.0664E-6	-2.3584E-6	-6.4268E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-9.0753E-6	-2.3366E-6	-6.4128E-6	193.99	-2.28
KT049	200	1.7123E-6	184.24	-36.71	185.41	-3.78	11618	10/16/20 1055	-8.2139E-6	-6.0960E-7	-6.1408E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-8.0826E-6	-5.8189E-7	-6.1136E-6	185.41	-3.78
KT049	250	1.0216E-6	192.82	-38.10	192.10	-5.72	11630	10/16/20 1259	-4.7035E-6	-1.0701E-6	-3.7825E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-4.6608E-6	-1.0186E-6	-3.7248E-6	192.10	-5.72
KT049	300	6.4505E-7	191.05	-43.74	190.12	-11.16	11642	10/16/20 1521	-2.7444E-6	-5.3616E-7	-2.6758E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-2.7034E-6	-4.7272E-7	-2.6779E-6	190.12	-11.16
KT049	330	3.9033E-7	199.99	-25.09	200.14	6.19	11654	10/16/20 1723	-1.9932E-6	-7.2498E-7	-9.9315E-7	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-1.9551E-6	-6.5675E-7	-1.0092E-6	200.14	6.19
KT049	360	3.1006E-7	227.19	-49.75	213.16	-23.64	11666	10/16/20 2146	-8.1686E-7	-8.8198E-7	-1.4198E-6	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	-7.2454E-7	-8.2309E-7	-1.5429E-6	213.16	-23.64
KT049	400	8.6179E-8	29.92	52.46	21.16	22.18	11694	10/17/20 1004	2.7304E-7	1.5715E-7	4.1002E-7	0.0	0.00	10/12/20 1524	SAMPLE/DISCRETE	SAMPLE	3.1525E-7	1.6146E-7	4.1684E-7	21.16	22.18
