Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	Sample Timestamp	Declination: Sample Rotated	Inclination: Sample Rotated	X drift	Y drift	Z drift	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Data type	Leader length	Trailer length	Volume	Temp C	Treatment Type	Position	Run #	Offline Comment	ARM Gauss	ARM axis	IRM Gauss	Depth	Sample Timestamp	Meas. type	Tray Timestamp	Drift corrected	Tray corrected	AF X	AF Y	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift
Z41A	100	-1.3545E-6	-1.4796E-6	1.2821E-6	0.00	90.00	0.00	0.00	227.53	32.58	2.3807E-6	-1.3545E-5	-1.4796E-5	1.2821E-5	1.4709E-7	1.4060E-7	1.1566E-7	02/28/23 1133	227.53	32.58	-3.6505E-10	-1.1599E-10	4.4660E-10	1.6070E-6	1.6057E-6	6.1799E-7	6.1758E-7	-8.7932E-6	-8.7916E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183422	NA	NA	NA	NA	2.00	02/28/23 1133	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	100	100	-1.3545E-6	-4.9895E-1	-1.3542E-5	-1.3545E-5	1.4709E-7	-1.4796E-6	-6.2164E-1	-1.4792E-5	-1.4796E-5	1.4060E-7	1.2821E-6	2.4065E-1	1.2801E-5	1.2821E-5	1.1566E-7	6	-3.6505E-10	-1.1599E-10	4.4660E-10
Z51A1	100	-3.1612E-6	-2.4658E-6	2.1341E-6	0.00	90.00	0.00	0.00	217.96	28.03	4.5418E-6	-3.1612E-5	-2.4658E-5	2.1341E-5	1.2124E-8	1.1147E-7	1.7999E-7	02/28/23 1133	217.96	28.03	-6.0037E-10	-1.9075E-10	7.3449E-10	1.6070E-6	1.6057E-6	6.1799E-7	6.1758E-7	-8.7932E-6	-8.7916E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	5.0	183423	NA	NA	NA	NA	5.00	02/28/23 1133	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	100	100	-3.1612E-6	-1.2536E+0	-3.1592E-5	-3.1612E-5	1.2124E-8	-2.4658E-6	-1.0541E+0	-2.4652E-5	-2.4658E-5	1.1147E-7	2.1341E-6	7.5219E-1	2.1318E-5	2.1341E-5	1.7999E-7	6	-6.0037E-10	-1.9075E-10	7.3449E-10
Z53A1	100	-3.2362E-6	-1.9429E-7	3.6891E-6	0.00	90.00	0.00	0.00	183.44	48.69	4.9112E-6	-2.5889E-5	-1.5543E-6	2.9512E-5	1.8503E-7	1.2046E-8	3.3298E-8	02/28/23 1133	183.44	48.69	-8.3379E-10	-2.6492E-10	1.0201E-9	1.6070E-6	1.6057E-6	6.1799E-7	6.1758E-7	-8.7932E-6	-8.7916E-6	SAMPLE	NA	NA	8.00	NA	Degauss X, Y, & Z	6.0	183424	NA	NA	NA	NA	6.00	02/28/23 1133	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	100	100	-3.2362E-6	-1.0150E+0	-2.5886E-5	-2.5889E-5	1.8503E-7	-1.9429E-7	-4.0937E-2	-1.5521E-6	-1.5543E-6	1.2046E-8	3.6891E-6	1.2436E+0	2.9499E-5	2.9512E-5	3.3298E-8	6	-8.3379E-10	-2.6492E-10	1.0201E-9
Z41A	150	-9.3720E-7	-1.0484E-6	9.1069E-7	0.00	90.00	0.00	0.00	228.20	32.93	1.6753E-6	-9.3720E-6	-1.0484E-5	9.1069E-6	1.0444E-7	9.6169E-8	7.9253E-8	02/28/23 1137	228.20	32.93	-4.4016E-10	-6.9226E-10	-3.1404E-10	8.6130E-6	8.6114E-6	5.9960E-7	5.9709E-7	-8.7943E-6	-8.7955E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183424	NA	NA	NA	NA	2.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	150	150	-9.3720E-7	-3.1582E-2	-9.3688E-6	-9.3720E-6	1.0444E-7	-1.0484E-6	-4.3337E-1	-1.0480E-5	-1.0484E-5	9.6169E-8	9.1069E-7	1.7418E-2	9.0857E-6	9.1069E-6	7.9253E-8	6	-4.4016E-10	-6.9226E-10	-3.1404E-10
Z51A1	150	-2.2709E-6	-1.8393E-6	1.5912E-6	0.00	90.00	0.00	0.00	219.01	28.57	3.3275E-6	-2.2709E-5	-1.8393E-5	1.5912E-5	1.9507E-7	1.6743E-7	1.2481E-7	02/28/23 1137	219.01	28.57	-7.2364E-10	-1.1381E-9	-5.1629E-10	8.6130E-6	8.6114E-6	5.9960E-7	5.9709E-7	-8.7943E-6	-8.7955E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	5.0	183425	NA	NA	NA	NA	5.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	150	150	-2.2709E-6	-5.8846E-1	-2.2689E-5	-2.2709E-5	1.9507E-7	-1.8393E-6	-7.8020E-1	-1.8388E-5	-1.8393E-5	1.6743E-7	1.5912E-6	4.2594E-1	1.5888E-5	1.5912E-5	1.2481E-7	6	-7.2364E-10	-1.1381E-9	-5.1629E-10
Z53A1	150	-2.2256E-6	-1.5890E-7	2.6448E-6	0.00	90.00	0.00	0.00	184.08	49.85	3.4603E-6	-1.7805E-5	-1.2712E-6	2.1158E-5	1.3181E-7	1.9373E-8	1.8521E-7	02/28/23 1137	184.08	49.85	-1.0048E-9	-1.5803E-9	-7.1688E-10	8.6130E-6	8.6114E-6	5.9960E-7	5.9709E-7	-8.7943E-6	-8.7955E-6	SAMPLE	NA	NA	8.00	NA	Degauss X, Y, & Z	6.0	183426	NA	NA	NA	NA	6.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	150	150	-2.2256E-6	-3.8412E-1	-1.7802E-5	-1.7805E-5	1.3181E-7	-1.5890E-7	-2.9427E-2	-1.2703E-6	-1.2712E-6	1.9373E-8	2.6448E-6	7.4159E-1	2.1143E-5	2.1158E-5	1.8521E-7	6	-1.0048E-9	-1.5803E-9	-7.1688E-10
Z41A	200	-7.0174E-7	-6.8966E-7	6.3599E-7	0.00	90.00	0.00	0.00	224.50	32.88	1.1716E-6	-7.0174E-6	-6.8966E-6	6.3599E-6	7.3864E-8	6.2341E-8	5.0672E-8	02/28/23 1137	224.50	32.88	-2.2088E-10	6.5268E-10	-1.3069E-10	9.0079E-6	9.0071E-6	6.0044E-7	6.0279E-7	-8.7871E-6	-8.7876E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183425	NA	NA	NA	NA	2.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	200	200	-7.0174E-7	8.3383E-2	-7.0140E-6	-7.0174E-6	7.3864E-8	-6.8966E-7	-2.7594E-1	-6.8918E-6	-6.8966E-6	6.2341E-8	6.3599E-7	-1.4702E-1	6.3389E-6	6.3599E-6	5.0672E-8	6	-2.2088E-10	6.5268E-10	-1.3069E-10
Z51A1	200	-1.7822E-6	-1.3555E-6	1.1374E-6	0.00	90.00	0.00	0.00	217.26	26.93	2.5115E-6	-1.7822E-5	-1.3555E-5	1.1374E-5	1.4817E-7	1.2058E-7	8.5307E-8	02/28/23 1137	217.26	26.93	-3.6127E-10	1.0675E-9	-2.1375E-10	9.0079E-6	9.0071E-6	6.0044E-7	6.0279E-7	-8.7871E-6	-8.7876E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	5.0	183426	NA	NA	NA	NA	5.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	200	200	-1.7822E-6	-3.6763E-1	-1.7802E-5	-1.7822E-5	1.4817E-7	-1.3555E-6	-5.6787E-1	-1.3548E-5	-1.3555E-5	1.2058E-7	1.1374E-6	1.5396E-1	1.1350E-5	1.1374E-5	8.5307E-8	6	-3.6127E-10	1.0675E-9	-2.1375E-10
Z53A1	200	-1.7060E-6	-1.4592E-7	1.8876E-6	0.00	90.00	0.00	0.00	184.89	47.79	2.5485E-6	-1.3648E-5	-1.1673E-6	1.5101E-5	9.8446E-8	1.4863E-8	1.2445E-7	02/28/23 1137	184.89	47.79	-5.0279E-10	1.4857E-9	-2.9748E-10	9.0079E-6	9.0071E-6	6.0044E-7	6.0279E-7	-8.7871E-6	-8.7876E-6	SAMPLE	NA	NA	8.00	NA	Degauss X, Y, & Z	6.0	183427	NA	NA	NA	NA	6.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	200	200	-1.7060E-6	-1.9378E-1	-1.3644E-5	-1.3648E-5	9.8446E-8	-1.4592E-7	-2.4698E-2	-1.1634E-6	-1.1673E-6	1.4863E-8	1.8876E-6	3.7835E-1	1.5086E-5	1.5101E-5	1.2445E-7	6	-5.0279E-10	1.4857E-9	-2.9748E-10
Z41A	250	-4.9573E-7	-5.7888E-7	5.3644E-7	0.00	90.00	0.00	0.00	229.42	35.14	9.3200E-7	-4.9573E-6	-5.7888E-6	5.3644E-6	5.2319E-8	5.0089E-8	4.4091E-8	02/28/23 1137	229.42	35.14	-2.9845E-10	-3.3715E-10	-2.1543E-10	1.2067E-5	1.2066E-5	5.8721E-7	5.8600E-7	-8.8704E-6	-8.8712E-6	SAMPLE	NA	NA	10.00	NA	Degauss X, Y, & Z	2.0	183426	NA	NA	NA	NA	2.00	02/28/23 1137	SAMPLE/DISCRETE	02/28/23 1123	YES	YES	250	250	-4.9573E-7	2.9744E-1	-4.9539E-6	-4.9573E-6	5.2319E-8	-5.7888E-7	-2.2795E-1	-5.7850E-6	-5.7888E-6	5.0089E-8	5.3644E-7	-2.1182E-1	5.3433E-6	5.3644E-6	4.4091E-8	6	-2.9845E-10	-3.3715E-10	-2.1543E-10
